"","indicator.id","indicator.value","country.id","country.value","countryiso3code","date","value","unit","obs_status","decimal"
"23",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,"CEB","2019",NA,"","",0
"24",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,"CEB","2018",NA,"","",0
"25",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,"CEB","2017",NA,"","",0
"26",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,"EAR","2021",NA,"","",0
"27",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,"EAR","2020",80.30726,"","",0
"28",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,"EAR","2019",79.84099,"","",0
"29",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,"EAR","2018",79.35413,"","",0
"30",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,"EAR","2017",79.01700,"","",0
"31",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,"EAS","2021",NA,"","",0
"32",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,"EAS","2020",95.91979,"","",0
"33",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,"EAS","2019",95.77401,"","",0
"34",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,"EAS","2018",95.62532,"","",0
"35",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,"EAS","2017",95.47143,"","",0
"36",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),"EAP","2021",NA,"","",0
"37",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),"EAP","2020",96.17315,"","",0
"38",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),"EAP","2019",96.02679,"","",0
"39",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),"EAP","2018",95.87912,"","",0
"40",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),"EAP","2017",95.72929,"","",0
"41",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),"TEA","2021",NA,"","",0
"42",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),"TEA","2020",96.12632,"","",0
"43",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),"TEA","2019",95.97810,"","",0
"44",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),"TEA","2018",95.82860,"","",0
"45",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),"TEA","2017",95.67691,"","",0
"46",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,"EMU","2021",NA,"","",0
"47",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,"EMU","2020",NA,"","",0
"48",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,"EMU","2019",NA,"","",0
"49",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,"EMU","2018",NA,"","",0
"50",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,"EMU","2017",NA,"","",0
"51",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,"ECS","2021",NA,"","",0
"52",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,"ECS","2020",98.42828,"","",0
"53",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,"ECS","2019",98.37897,"","",0
"54",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,"ECS","2018",98.33352,"","",0
"55",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,"ECS","2017",98.27192,"","",0
"56",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),"ECA","2021",NA,"","",0
"57",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),"ECA","2020",99.07747,"","",0
"58",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),"ECA","2019",99.04349,"","",0
"59",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),"ECA","2018",99.00774,"","",0
"60",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),"ECA","2017",98.97246,"","",0
"61",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),"TEC","2021",NA,"","",0
"62",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),"TEC","2020",99.04428,"","",0
"63",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),"TEC","2019",99.01315,"","",0
"64",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),"TEC","2018",98.98051,"","",0
"65",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),"TEC","2017",98.94835,"","",0
"66",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,"EUU","2021",NA,"","",0
"67",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,"EUU","2020",NA,"","",0
"68",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,"EUU","2019",NA,"","",0
"69",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,"EUU","2018",NA,"","",0
"70",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,"EUU","2017",NA,"","",0
"71",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,"FCS","2021",NA,"","",0
"72",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,"FCS","2020",63.98188,"","",0
"73",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,"FCS","2019",63.74937,"","",0
"74",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,"FCS","2018",63.49599,"","",0
"75",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,"FCS","2017",65.00602,"","",0
"76",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),"HPC","2021",NA,"","",0
"77",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),"HPC","2020",63.05041,"","",0
"78",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),"HPC","2019",62.50519,"","",0
"79",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),"HPC","2018",61.88289,"","",0
"80",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),"HPC","2017",61.38893,"","",0
"81",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,"","2021",NA,"","",0
"82",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,"","2020",NA,"","",0
"83",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,"","2019",NA,"","",0
"84",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,"","2018",NA,"","",0
"85",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,"","2017",NA,"","",0
"86",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,"IBD","2021",NA,"","",0
"87",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,"IBD","2020",89.62664,"","",0
"88",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,"IBD","2019",89.36553,"","",0
"89",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,"IBD","2018",89.06654,"","",0
"90",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,"IBD","2017",89.04436,"","",0
"91",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,"IBT","2021",NA,"","",0
"92",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,"IBT","2020",84.65379,"","",0
"93",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,"IBT","2019",84.40695,"","",0
"94",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,"IBT","2018",84.12514,"","",0
"95",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,"IBT","2017",84.09641,"","",0
"96",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,"IDB","2021",NA,"","",0
"97",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,"IDB","2020",67.39233,"","",0
"98",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,"IDB","2019",66.98145,"","",0
"99",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,"IDB","2018",66.56935,"","",0
"100",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,"IDB","2017",66.58383,"","",0
"101",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,"IDX","2021",NA,"","",0
"102",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,"IDX","2020",66.58265,"","",0
"103",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,"IDX","2019",66.05657,"","",0
"104",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,"IDX","2018",65.49887,"","",0
"105",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,"IDX","2017",64.97928,"","",0
"106",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,"IDA","2021",NA,"","",0
"107",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,"IDA","2020",67.00737,"","",0
"108",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,"IDA","2019",66.52633,"","",0
"109",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,"IDA","2018",66.02431,"","",0
"110",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,"IDA","2017",65.69051,"","",0
"111",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,"LTE","2021",NA,"","",0
"112",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,"LTE","2020",96.47220,"","",0
"113",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,"LTE","2019",96.34008,"","",0
"114",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,"LTE","2018",96.15606,"","",0
"115",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,"LTE","2017",96.01104,"","",0
"116",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,"LCN","2021",NA,"","",0
"117",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,"LCN","2020",94.45123,"","",0
"118",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,"LCN","2019",94.29451,"","",0
"119",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,"LCN","2018",93.86866,"","",0
"120",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,"LCN","2017",93.70875,"","",0
"121",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),"LAC","2021",NA,"","",0
"122",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),"LAC","2020",94.33153,"","",0
"123",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),"LAC","2019",94.17028,"","",0
"124",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),"LAC","2018",93.72753,"","",0
"125",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),"LAC","2017",93.57028,"","",0
"126",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),"TLA","2021",NA,"","",0
"127",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),"TLA","2020",94.35631,"","",0
"128",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),"TLA","2019",94.19449,"","",0
"129",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),"TLA","2018",93.75613,"","",0
"130",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),"TLA","2017",93.59078,"","",0
"131",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,"LDC","2021",NA,"","",0
"132",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,"LDC","2020",65.41578,"","",0
"133",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,"LDC","2019",64.85780,"","",0
"134",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,"LDC","2018",64.27588,"","",0
"135",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,"LDC","2017",63.68294,"","",0
"136",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,"LMY","2021",NA,"","",0
"137",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,"LMY","2020",84.54367,"","",0
"138",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,"LMY","2019",84.29309,"","",0
"139",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,"LMY","2018",84.00709,"","",0
"140",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,"LMY","2017",83.97684,"","",0
"141",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,"","2021",NA,"","",0
"142",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,"","2020",61.36890,"","",0
"143",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,"","2019",60.95805,"","",0
"144",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,"","2018",60.49671,"","",0
"145",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,"","2017",60.10515,"","",0
"146",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,"","2021",NA,"","",0
"147",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,"","2020",76.48846,"","",0
"148",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,"","2019",75.96757,"","",0
"149",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,"","2018",75.43163,"","",0
"150",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,"","2017",75.00414,"","",0
"151",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,"MEA","2021",NA,"","",0
"152",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,"MEA","2020",79.64868,"","",0
"153",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,"MEA","2019",79.31014,"","",0
"154",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,"MEA","2018",78.98143,"","",0
"155",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,"MEA","2017",81.52540,"","",0
"156",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),"MNA","2021",NA,"","",0
"157",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),"MNA","2020",76.71839,"","",0
"158",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),"MNA","2019",76.34241,"","",0
"159",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),"MNA","2018",75.96434,"","",0
"160",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),"MNA","2017",79.03477,"","",0
"161",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),"TMN","2021",NA,"","",0
"162",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),"TMN","2020",76.47659,"","",0
"163",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),"TMN","2019",76.09991,"","",0
"164",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),"TMN","2018",75.72258,"","",0
"165",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),"TMN","2017",78.83198,"","",0
"166",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,"MIC","2021",NA,"","",0
"167",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,"MIC","2020",86.67131,"","",0
"168",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,"MIC","2019",86.39626,"","",0
"169",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,"MIC","2018",86.08866,"","",0
"170",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,"MIC","2017",86.05455,"","",0
"171",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,"NAC","2021",NA,"","",0
"172",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,"NAC","2020",NA,"","",0
"173",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,"NAC","2019",NA,"","",0
"174",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,"NAC","2018",NA,"","",0
"175",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,"NAC","2017",NA,"","",0
"176",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,"","2021",NA,"","",0
"177",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,"","2020",NA,"","",0
"178",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,"","2019",NA,"","",0
"179",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,"","2018",NA,"","",0
"180",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,"","2017",NA,"","",0
"181",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,"OED","2021",NA,"","",0
"182",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,"OED","2020",NA,"","",0
"183",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,"OED","2019",NA,"","",0
"184",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,"OED","2018",NA,"","",0
"185",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,"OED","2017",NA,"","",0
"186",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,"OSS","2021",NA,"","",0
"187",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,"OSS","2020",85.63775,"","",0
"188",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,"OSS","2019",85.36423,"","",0
"189",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,"OSS","2018",85.06986,"","",0
"190",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,"OSS","2017",84.82926,"","",0
"191",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,"PSS","2021",NA,"","",0
"192",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,"PSS","2020",NA,"","",0
"193",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,"PSS","2019",NA,"","",0
"194",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,"PSS","2018",91.29381,"","",0
"195",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,"PSS","2017",91.27797,"","",0
"196",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V4,Post-demographic dividend,"PST","2021",NA,"","",0
"197",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V4,Post-demographic dividend,"PST","2020",NA,"","",0
"198",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V4,Post-demographic dividend,"PST","2019",NA,"","",0
