n,indicator.id,indicator.value,country.id,country.value,countryiso3code,date,value,unit,obs_status,decimal,m
60,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),ECA,2017,98.97246,,,
61,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2021,NA,,,
62,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2020,99.04428,,,
63,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2019,99.01315,,,
64,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2018,98.98051,,,
65,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2017,98.94835,,,
66,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,EUU,2021,NA,,,
67,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,EUU,2020,NA,,,
68,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,EUU,2019,NA,,,
69,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,EUU,2018,NA,,,
70,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),EU,European Union,EUU,2017,NA,,,
71,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,FCS,2021,NA,,,
72,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,FCS,2020,63.98188,,,
73,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,FCS,2019,63.74937,,,
74,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,FCS,2018,63.49599,,,
75,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),F1,Fragile and conflict affected situations,FCS,2017,65.00602,,,
76,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),HPC,2021,NA,,,
77,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),HPC,2020,63.05041,,,
78,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),HPC,2019,62.50519,,,
79,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),HPC,2018,61.88289,,,
80,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XE,Heavily indebted poor countries (HIPC),HPC,2017,61.38893,,,
81,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,,2021,NA,,,
82,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,,2020,NA,,,
83,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,,2019,NA,,,
84,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,,2018,NA,,,
85,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XD,High income,,2017,NA,,,
86,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,IBD,2021,NA,,,
87,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,IBD,2020,89.62664,,,
88,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,IBD,2019,89.36553,,,
89,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,IBD,2018,89.06654,,,
90,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XF,IBRD only,IBD,2017,89.04436,,,
91,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,IBT,2021,NA,,,
92,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,IBT,2020,84.65379,,,
93,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,IBT,2019,84.40695,,,
94,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,IBT,2018,84.12514,,,
95,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZT,IDA & IBRD total,IBT,2017,84.09641,,,
96,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,IDB,2021,NA,,,
97,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,IDB,2020,67.39233,,,
98,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,IDB,2019,66.98145,,,
99,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,IDB,2018,66.56935,,,
100,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XH,IDA blend,IDB,2017,66.58383,,,
101,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,IDX,2021,NA,,,
102,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,IDX,2020,66.58265,,,
103,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,IDX,2019,66.05657,,,
104,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,IDX,2018,65.49887,,,
105,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XI,IDA only,IDX,2017,64.97928,,,
106,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,IDA,2021,NA,,,
107,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,IDA,2020,67.00737,,,
108,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,IDA,2019,66.52633,,,
109,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,IDA,2018,66.02431,,,
110,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XG,IDA total,IDA,2017,65.69051,,,
111,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,LTE,2021,NA,,,
112,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,LTE,2020,96.47220,,,
113,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,LTE,2019,96.34008,,,
114,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,LTE,2018,96.15606,,,
115,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V3,Late-demographic dividend,LTE,2017,96.01104,,,
116,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,LCN,2021,NA,,,
117,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,LCN,2020,94.45123,,,
118,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,LCN,2019,94.29451,,,
119,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,LCN,2018,93.86866,,,
120,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZJ,Latin America & Caribbean,LCN,2017,93.70875,,,
121,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),LAC,2021,NA,,,
122,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),LAC,2020,94.33153,,,
123,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),LAC,2019,94.17028,,,
124,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),LAC,2018,93.72753,,,
125,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XJ,Latin America & Caribbean (excluding high income),LAC,2017,93.57028,,,
126,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2021,NA,,,
127,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,94.35631,,,
128,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,94.19449,,,
129,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2018,93.75613,,,
130,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,93.59078,,,
131,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,LDC,2021,NA,,,
132,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,LDC,2020,65.41578,,,
133,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,LDC,2019,64.85780,,,
134,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,LDC,2018,64.27588,,,
135,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XL,Least developed countries: UN classification,LDC,2017,63.68294,,,
136,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,LMY,2021,NA,,,
137,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,LMY,2020,84.54367,,,
138,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,LMY,2019,84.29309,,,
139,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,LMY,2018,84.00709,,,
140,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XO,Low & middle income,LMY,2017,83.97684,,,
141,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,,2021,NA,,,
142,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,,2020,61.36890,,,
143,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,,2019,60.95805,,,
144,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,,2018,60.49671,,,
145,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XM,Low income,,2017,60.10515,,,
146,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,,2021,NA,,,
147,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,,2020,76.48846,,,
148,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,,2019,75.96757,,,
149,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,,2018,75.43163,,,
150,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XN,Lower middle income,,2017,75.00414,,,
151,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,MEA,2021,NA,,,
152,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,MEA,2020,79.64868,,,
153,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,MEA,2019,79.31014,,,
154,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,MEA,2018,78.98143,,,
155,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZQ,Middle East & North Africa,MEA,2017,81.52540,,,
156,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),MNA,2021,NA,,,
157,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),MNA,2020,76.71839,,,
158,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),MNA,2019,76.34241,,,
159,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),MNA,2018,75.96434,,,
160,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XQ,Middle East & North Africa (excluding high income),MNA,2017,79.03477,,,
161,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),TMN,2021,NA,,,
162,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),TMN,2020,76.47659,,,
163,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),TMN,2019,76.09991,,,
164,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),TMN,2018,75.72258,,,
165,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T3,Middle East & North Africa (IDA & IBRD countries),TMN,2017,78.83198,,,
166,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,MIC,2021,NA,,,
167,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,MIC,2020,86.67131,,,
168,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,MIC,2019,86.39626,,,
169,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,MIC,2018,86.08866,,,
170,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XP,Middle income,MIC,2017,86.05455,,,
171,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,NAC,2021,NA,,,
172,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,NAC,2020,NA,,,
173,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,NAC,2019,NA,,,
174,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,NAC,2018,NA,,,
175,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XU,North America,NAC,2017,NA,,,
176,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,,2021,NA,,,
177,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,,2020,NA,,,
178,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,,2019,NA,,,
179,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,,2018,NA,,,
180,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XY,Not classified,,2017,NA,,,
181,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,OED,2021,NA,,,
182,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,OED,2020,NA,,,
183,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,OED,2019,NA,,,
184,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,OED,2018,NA,,,
185,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),OE,OECD members,OED,2017,NA,,,
186,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,OSS,2021,NA,,,
187,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,OSS,2020,85.63775,,,
188,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,OSS,2019,85.36423,,,
189,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,OSS,2018,85.06986,,,
190,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S4,Other small states,OSS,2017,84.82926,,,
191,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,PSS,2021,NA,,,
192,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,PSS,2020,NA,,,
193,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,PSS,2019,NA,,,
194,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,PSS,2018,91.29381,,,
195,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S2,Pacific island small states,PSS,2017,91.27797,,,
196,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V4,Post-demographic dividend,PST,2021,NA,,,
197,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V4,Post-demographic dividend,PST,2020,NA,,,
198,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V4,Post-demographic dividend,PST,2019,NA,,,
199,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V4,Post-demographic dividend,PST,2018,NA,,,
200,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V4,Post-demographic dividend,PST,2017,NA,,,
201,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V1,Pre-demographic dividend,PRE,2021,NA,,,
202,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V1,Pre-demographic dividend,PRE,2020,63.07903,,,
203,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V1,Pre-demographic dividend,PRE,2019,62.55918,,,
204,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V1,Pre-demographic dividend,PRE,2018,62.00147,,,
205,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V1,Pre-demographic dividend,PRE,2017,62.92971,,,
206,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S1,Small states,SST,2021,NA,,,
207,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S1,Small states,SST,2020,87.10611,,,
208,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S1,Small states,SST,2019,86.90550,,,
209,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S1,Small states,SST,2018,86.69132,,,
210,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S1,Small states,SST,2017,86.51476,,,
